,H_beta Flux,H_gamma Flux,Hg/Hb Ratio
spec-0326-52375-0382/J112518.9,17+/-5,13+/-5,0.8+/-0.4
spec-0483-51924-0628/J090523.61,46+/-5,21.6+/-3.1,0.46+/-0.08
spec-0518-52282-0605/J121955.78,38+/-5,37+/-8,0.97+/-0.24
spec-0566-52238-0319/J090133.42,61+/-4,20+/-4,0.33+/-0.07
spec-0581-52356-0196/J110702.87,52+/-4,23+/-4,0.44+/-0.09
spec-0639-52146-0388/J211625.15,29+/-8,15+/-4,0.51+/-0.20
spec-0732-52221-0445/J214000.49,12+/-6,6+/-6,0.5+/-0.6
spec-0761-54524-0409/J082638.4,52+/-6,25+/-4,0.49+/-0.09
spec-0913-52433-0300/J134136.8,76+/-6,28+/-5,0.36+/-0.07
spec-0977-52410-0257/J171300.39,5+/-4,4.4+/-3.3,0.9+/-0.9
spec-0986-52443-0580/J211824.06,37.7+/-3.3,17.1+/-3.2,0.45+/-0.09
spec-1054-52516-0153/J155811.24,85+/-4,37+/-5,0.43+/-0.06
spec-1305-52757-0191/J094417.85,39+/-5,17+/-4,0.43+/-0.12
spec-1577-53495-0564/J161332.53,58+/-4,25+/-4,0.43+/-0.08
spec-1627-53473-0154/J123215.83,32+/-4,16+/-5,0.51+/-0.16
spec-1675-53466-0512/J145028.86,11+/-11,-2+/-4,-0.2+/-0.4
spec-6712-56421-0114/J150636.29,101+/-5,50+/-4,0.49+/-0.05
