#Column 1: Rest Wavelength (microns)
#Column 2: Luminosity (W/Hz)
#Column 3: DLnu (W/Hz)
wavelength luminosity  uncertainty
   2.000   1.607E+23   1.572E+22
   2.100   1.547E+23   1.355E+22
   2.200   1.492E+23   1.162E+22
   2.300   1.435E+23   9.943E+21
   2.327   1.418E+23   9.712E+21
   2.400   1.369E+23   9.783E+21
   2.500   1.299E+23   1.053E+22
   2.600   1.240E+23   1.123E+22
   2.609   1.236E+23   1.128E+22
   2.700   1.222E+23   1.158E+22
   2.800   1.220E+23   1.179E+22
   2.900   1.219E+23   1.246E+22
   2.959   1.217E+23   1.500E+22
   3.000   1.213E+23   1.817E+22
   3.037   1.204E+23   2.072E+22
   3.100   1.174E+23   2.169E+22
   3.152   1.141E+23   1.937E+22
   3.200   1.110E+23   1.552E+22
   3.300   1.055E+23   6.057E+21
   3.343   1.050E+23   3.672E+21
   3.400   1.074E+23   3.632E+21
   3.500   1.155E+23   7.557E+21
   3.600   1.257E+23   1.230E+22
   3.648   1.347E+23   1.532E+22
   3.700   1.469E+23   1.863E+22
   3.730   1.518E+23   1.970E+22
   3.800   1.509E+23   1.868E+22
   3.865   1.505E+23   1.980E+22
   3.900   1.558E+23   2.393E+22
   3.958   1.632E+23   3.472E+22
   4.000   1.592E+23   4.201E+22
   4.056   1.476E+23   4.445E+22
   4.100   1.396E+23   3.876E+22
   4.145   1.280E+23   3.180E+22
   4.252   9.037E+22   2.998E+22
   4.353   1.194E+23   2.444E+22
   4.452   1.507E+23   2.089E+22
   4.553   1.594E+23   2.401E+22
   4.653   1.845E+23   2.825E+22
   4.747   1.738E+23   3.356E+22
   4.848   1.116E+23   4.124E+22
   4.953   1.446E+23   2.858E+22
   5.059   1.628E+23   3.519E+22
   5.160   1.784E+23   4.098E+22
   5.250   1.949E+23   3.432E+22
   5.347   2.084E+23   3.448E+22
   5.455   1.829E+23   4.172E+22
   5.559   1.664E+23   5.482E+22
   5.655   2.087E+23   4.991E+22
   5.748   2.382E+23   4.968E+22
   5.844   2.672E+23   4.932E+22
   5.954   3.047E+23   4.157E+22
   6.057   4.067E+23   4.358E+22
   6.155   5.790E+23   6.033E+22
   6.249   6.500E+23   5.308E+22
   6.351   4.786E+23   5.080E+22
   6.456   3.701E+23   4.099E+22
   6.550   3.717E+23   4.664E+22
   6.649   4.067E+23   4.600E+22
   6.751   4.032E+23   3.037E+22
   6.854   4.104E+23   4.176E+22
   6.951   4.683E+23   4.746E+22
   7.047   4.951E+23   3.932E+22
   7.151   5.363E+23   4.520E+22
   7.241   5.829E+23   6.431E+22
   7.349   7.205E+23   9.294E+22
   7.448   9.868E+23   1.216E+23
   7.551   1.273E+24   1.463E+23
   7.653   1.282E+24   1.350E+23
   7.747   1.294E+24   1.360E+23
   7.853   1.292E+24   1.554E+23
   7.951   1.111E+24   1.196E+23
   8.050   9.266E+23   8.118E+22
   8.149   8.336E+23   8.800E+22
   8.249   8.743E+23   9.411E+22
   8.346   9.254E+23   1.041E+23
   8.443   9.510E+23   1.081E+23
   8.556   9.933E+23   9.948E+22
