Galaxy,SSP Best Mass,Calz Best Mass,Tau Best Mass,DTau Best Mass,SSP Up Unc,Cal Up Unc,Tau Up Unc,DTau Up Unc,SSP Lo Unc,Cal Lo Unc,tau Lo Unc,dtau lo unc,SSP 16th %,Cal 16th %,Tau 16th %,DTau 16th %,SSP 50th %,cal 50th %,tau 50th %,dtau 50th %,SSP 84th %,cal 84th %,tau 84th %,dtau 84th %
J0826,0.03,0,0.03,0.02,0,0.03,0.04,0.04,0,0,0.02,0.01,0.026996868,0.003092816,0.010566565,0.012310181,0.030805873,0.003359084,0.027605295,0.021743754,0.03548606,0.030160548,0.070764467,0.060457948
J0901,0.03,0.03,0.01,0.01,0.01,0.01,0.05,0.02,0.01,0.01,0,0,0.018208319,0.018159645,0.008097704,0.008348533,0.031552708,0.031564606,0.011786483,0.012188133,0.038626854,0.038705858,0.062363675,0.030385349
J0905,0.01,0,0.01,0.01,0.03,0.03,0,0,0,0,0,0,0.004279749,0.003199089,0.00579989,0.005468582,0.005003271,0.003659486,0.007492276,0.007633905,0.03512226,0.036151227,0.009702171,0.011009253
J0944,0.03,0.03,0.02,0.03,0.01,0.01,0.05,0.04,0.01,0.01,0.01,0.01,0.017314905,0.017600581,0.010833528,0.01441808,0.027164437,0.028809481,0.024393963,0.028414064,0.035752334,0.039791294,0.069881022,0.072224975
J1107,0.03,0.03,0.02,0.02,0,0,0.05,0.03,0,0,0.01,0.01,0.028921959,0.028927052,0.009144031,0.009398581,0.032101529,0.032032151,0.021158196,0.015121542,0.035884425,0.035698503,0.070611179,0.043198704
J1219,0.05,0.05,0.01,0.01,0.03,0.03,0,0.01,0.02,0.04,0,0,0.033298976,0.006705452,0.006776128,0.009647532,0.04966519,0.045205083,0.007885048,0.011922823,0.075372222,0.072738424,0.009783836,0.021957098
J1341,0.02,0,0.01,0.01,0.02,0.03,0,0,0.01,0,0,0,0.004333518,0.00412385,0.00403104,0.004239292,0.01841967,0.004855194,0.005326911,0.006811217,0.033871256,0.033150572,0.006780399,0.009681544
J1506,0.03,0.03,0.01,0.01,0.01,0,0.01,0.01,0.02,0.03,0,0,0.004399556,0.004406497,0.008297621,0.009776387,0.02590188,0.030525906,0.010636645,0.014585806,0.033637956,0.034628179,0.016525567,0.028207377
J1558,0.02,0.03,0.03,0.04,0,0,0.03,0.03,0.01,0.01,0.02,0.02,0.018431423,0.018575698,0.016554326,0.021718055,0.024912345,0.025670948,0.033598712,0.042139769,0.028434352,0.028958516,0.065384164,0.074636909
J1613,0.03,0.03,0.03,0.03,0.02,0.02,0.05,0.04,0.02,0.02,0.02,0.02,0.00766348,0.007151437,0.010552008,0.017749004,0.030336373,0.02939906,0.025590621,0.033105105,0.050527779,0.05047005,0.073486519,0.074449278
J2116,0.01,0.04,0.01,0.01,0.04,0.02,0,0,0,0.01,0,0,0.004197566,0.033445142,0.005286577,0.006871162,0.00512447,0.04348268,0.006281585,0.00811869,0.045346655,0.062354058,0.007705505,0.01037055
J2140,0.05,0.06,0.01,0.01,0.03,0.02,0.04,0,0.04,0.02,0,0,0.006656248,0.04133793,0.006445755,0.008859778,0.048077475,0.06079796,0.007445692,0.010404819,0.075878702,0.083159286,0.048881672,0.01506916
