Galaxy,SSP Best Mass,Calz Best Mass,Tau Best Mass,DTau Best Mass,SSP Up Unc,Cal Up Unc,Tau Up Unc,DTau Up Unc,SSP Lo Unc,Cal Lo Unc,tau Lo Unc,dtau lo unc,SSP 16th %,Cal 16th %,Tau 16th %,DTau 16th %,SSP 50th %,cal 50th %,tau 50th %,dtau 50th %,SSP 84th %,cal 84th %,tau 84th %,dtau 84th %
J0826,12189842944,16355997696,5365711360,5680239104,1734456218,2560954368,3182461440,1590174720,1656373760,4134446899,1342958950,971640115.2,10533469184,12221550797,4022752410,4708598989,12189842944,16355997696,5365711360,5680239104,13924299162,18916952064,8548172800,7270413824
J0901,14030966784,13568866304,6444671488,8558463488,2853531853,2381864755,3664695808,5328419533,5690969293,5731220480,1375194829,2161283584,8339997491,7837645824,5069476659,6397179904,14030966784,13568866304,6444671488,8558463488,16884498637,15950731059,10109367296,13886883021
J0905,5275762688,13091338240,4811345408,11062500352,7557443584,3223778304,4200294912,10690305024,2349371392,2717516800,1200892672,5153282048,2926391296,10373821440,3610452736,5909218304,5275762688,13091338240,4811345408,11062500352,12833206272,16315116544,9011640320,21752805376
J0944,13771313152,13380360192,8018617600,8929018880,4801325056,3626019021,5203127654,2369935155,5644660429,5625091072,1779073894,1553131520,8126652723,7755269120,6239543706,7375887360,13771313152,13380360192,8018617600,8929018880,18572638208,17006379213,13221745254,11298954035
J1107,11300984832,11064238592,4504436992,5171181568,1255789363,1153423462,2887524915,2531940864,1221792768,1068097024,1070011904,1060763750,10079192064,9996141568,3434425088,4110417818,11300984832,11064238592,4504436992,5171181568,12556774195,12217662054,7391961907,7703122432
J1219,31740017664,25405769728,13071802368,16415588352,8432619725,9879541760,4715071488,4354990080,6935800832,22834575616,2757667840,3585784832,24804216832,2571194112,10314134528,12829803520,31740017664,25405769728,13071802368,16415588352,40172637389,35285311488,17786873856,20770578432
J1341,8315072512,2871144960,8327006720,10090348544,5275565261,10425260544,11170807296,12516521984,6220490752,892656972.8,4066694707,5101800448,2094581760,1978487987,4260312013,4988548096,8315072512,2871144960,8327006720,10090348544,13590637773,13296405504,19497814016,22606870528
J1506,11227642880,12860510720,3431257856,4559443712,3361098752,1762886144,904359168,2001054874,8655801856,10517278464,463102873.6,862717184,2571841024,2343232256,2968154982,3696726528,11227642880,12860510720,3431257856,4559443712,14588741632,14623396864,4335617024,6560498586
J1558,9618135040,9739602944,6072615936,6062402048,1813526938,1489847296,2760527667,1496546304,2603745280,2727046656,1572786176,1024030618,7014389760,7012556288,4499829760,5038371430,9618135040,9739602944,6072615936,6062402048,11431661978,11229450240,8833143603,7558948352
J1613,47911565312,34599088128,25015344128,26522654720,16615107379,14475223859,17915884544,7045101568,41782940160,30340415232,5607339008,3920592486,6128625152,4258672896,19408005120,22602062234,47911565312,34599088128,25015344128,26522654720,64526672691,49074311987,42931228672,33567756288
