Galaxy,SSP Best,Calz Best,Tau Best,DTau Best,SSP Up Unc,Cal Up Unc,Tau Up Unc,DTau Up Unc,SSP Lo Unc,Cal Lo Unc,tau Lo Unc,dtau lo unc,SSP 16th %,Cal 16th %,Tau 16th %,DTau 16th %,SSP 50th %,cal 50th %,tau 50th %,dtau 50th %,SSP 84th %,cal 84th %,tau 84th %,dtau 84th %
J0826,0.03,0.03,0.02,0.03,0.01,0.01,0.05,0.04,0,0.01,0.01,0.01,0.0265,0.018,0.0107,0.0135,0.0301,0.0291,0.0248,0.0256,0.0352,0.0345,0.0706,0.0654
J0901,0.01,0.03,0.03,0.02,0.02,0.01,0.04,0.04,0,0.01,0.02,0.01,0.030393168,0.018018706,0.011087509,0.013211562,0.351806015,0.031707004,0.031308614,0.024051379,2.602118921,0.042053652,0.073050378,0.064790832
J0905,0.03,0,0.03,0.03,0.01,0.03,0.04,0.04,0,0,0.02,0.01,0.026164874,0.004156998,0.011173665,0.013486507,0.029938574,0.004636476,0.028823581,0.026549905,0.035111936,0.030436635,0.073564835,0.068273991
J0944,0.03,0.03,0.02,0.02,0.01,0.01,0.04,0.04,0,0.01,0.01,0.01,0.026142877,0.017228626,0.010843674,0.012188479,0.03002231,0.027236151,0.024965622,0.021765148,0.035138613,0.036025834,0.067440845,0.059155693
J1107,0.03,0.03,0.03,0.03,0.01,0.01,0.04,0.05,0.01,0.01,0.02,0.01,0.018468846,0.01868915,0.011039124,0.013578032,0.029483568,0.032256266,0.027977288,0.025452521,0.034861859,0.041693333,0.069739565,0.071136303
J1219,0.03,0.03,0.03,0.02,0.01,0,0.04,0.04,0,0,0.02,0.01,0.026519489,0.031199526,0.011179882,0.012542052,0.030153194,0.033224415,0.0326415,0.024055261,0.03521866,0.036449101,0.074874018,0.063489668
J1341,0.03,0.03,0.02,0.02,0.01,0.01,0.05,0.04,0,0.1,0.01,0.01,0.026079442,0.017681358,0.01030387,0.012531551,0.02996338,0.027773869,0.021336249,0.024376249,0.035129335,0.036521666,0.06646502,0.067351453
J1506,0.03,0.03,0.03,0.03,0.01,0.01,0.04,0.04,0,0.02,0.02,0.01,0.026439952,0.004358442,0.010745222,0.013407363,0.030085072,0.027932256,0.026538355,0.025523841,0.035259416,0.034027256,0.071057734,0.068603422
J1558,0.03,0.03,0.03,0.04,0.01,0,0.03,0.03,0,0.01,0.02,0.02,0.02646836,0.018855028,0.015553179,0.022000256,0.030118903,0.025721252,0.03165279,0.041622432,0.035375371,0.028740271,0.066120848,0.074330957
J1613,0.03,0.03,0.03,0.03,0.01,0.03,0.04,0.04,0.01,0.03,0.02,0.01,0.017959485,0.007227246,0.011174377,0.013651513,0.028955353,0.033301095,0.026431246,0.027570888,0.034677419,0.060848743,0.070626676,0.067222953
J2116,0.03,0.03,0.03,0.04,0.01,0.02,0.04,0.03,0,0.03,0.02,0.02,0.02654336,0.004180248,0.011026883,0.02165635,0.030009792,0.03266219,0.029886017,0.041828096,0.035068203,0.054578917,0.072057359,0.075191681
J2140,0.06,0.04,0.03,0.01,0.02,0.04,0.04,0,0.02,0.03,0.02,0,0.036934059,0.00646503,0.011271563,0.009083532,0.056027347,0.037222128,0.029547937,0.010626259,0.080300108,0.072859436,0.072126731,0.013834671
