Galaxy,SSP Best,Calz Best,Tau Best,DTau Best,SSP Up Unc,Cal Up Unc,Tau Up Unc,DTau Up Unc,SSP Lo Unc,Cal Lo Unc,tau Lo Unc,dtau lo unc,SSP 16th %,Cal 16th %,Tau 16th %,DTau 16th %,SSP 50th %,cal 50th %,tau 50th %,dtau 50th %,SSP 84th %,cal 84th %,tau 84th %,dtau 84th %
J0826,0.06,0.04,0.41,0.63,0.08,0.06,0.32,0.37,0.04,0.03,0.19,0.24,0.0157,0.009,0.211929679,0.382,0.0592,0.036,0.406817198,0.625,0.1349,0.0917,0.726422906,0.99
J0901,1.61,0.09,0.39,0.65,0.29,0.08,0.3,0.36,0.51,0.06,0.18,0.27,0.009143142,0.032906201,0.209394366,0.383139849,0.01179569,0.094926022,0.390635937,0.651867419,0.035672612,0.173177972,0.68584913,1.008616352
J0905,0.06,0.49,0.39,0.62,0.08,0.27,0.29,0.38,0.04,0.45,0.18,0.25,0.016556108,0.038956959,0.209302875,0.368768424,0.058761289,0.491632313,0.392580837,0.617135823,0.136016974,0.759815264,0.680426359,0.995679796
J0944,0.06,0.25,0.42,0.7,0.08,0.1,0.29,0.4,0.04,0.1,0.19,0.3,0.015343511,0.149067849,0.230366072,0.400448459,0.057465903,0.245284215,0.416203052,0.702005088,0.138505527,0.344211519,0.703734815,1.0983886
J1107,0.06,0.09,0.4,0.63,0.08,0.08,0.3,0.36,0.04,0.06,0.18,0.25,0.014552495,0.029812369,0.221381754,0.375398517,0.057989143,0.091112725,0.40089196,0.628715396,0.138190493,0.176050588,0.696156919,0.990246356
J1219,0.06,0.02,0.38,0.66,0.08,0.03,0.31,0.42,0.04,0.01,0.17,0.27,0.016118323,0.005260629,0.203569031,0.387982726,0.05801671,0.019994032,0.377151802,0.655685365,0.133279756,0.051508725,0.687139928,1.071080327
J1341,0.06,0.25,0.44,0.65,0.07,0.1,0.3,0.42,0.04,0.1,0.21,0.27,0.014623418,0.146009564,0.232452437,0.37758882,0.055873446,0.246737249,0.439681381,0.649005353,0.129870293,0.345156342,0.738144767,1.064896464
J1506,0.06,0.09,0.41,0.63,0.07,0.42,0.31,0.37,0.04,0.08,0.19,0.26,0.016047767,0.010970477,0.218452072,0.369934601,0.059672479,0.092938103,0.406498626,0.634689599,0.134510353,0.512316465,0.715832841,1.002590299
J1558,0.06,0.05,0.46,0.6,0.07,0.07,0.18,0.22,0.04,0.04,0.16,0.17,0.014381956,0.013637209,0.303929764,0.434339201,0.055292383,0.0520938,0.46225211,0.604000002,0.12978968,0.118753053,0.646897256,0.82062583
J1613,0.05,0.59,0.4,0.61,0.07,0.15,0.29,0.38,0.04,0.21,0.17,0.23,0.011441934,0.386817932,0.227436483,0.373601955,0.048765287,0.592486918,0.401484221,0.606730044,0.120239456,0.74238323,0.693747699,0.988394463
J2116,0.06,0.13,0.4,0.6,0.08,0.87,0.31,0.23,0.04,0.11,0.18,0.17,0.015354175,0.025263559,0.220698535,0.428535581,0.057723621,0.133480817,0.397841439,0.598531395,0.134763288,1.001565337,0.7077896,0.828409588
J2140,0.36,0.22,0.4,1.77,0.17,0.14,0.29,0.16,0.17,0.11,0.18,0.23,0.187608919,0.108250667,0.219051203,1.519066691,0.359933347,0.217379987,0.396392554,1.773901105,0.530506909,0.355111361,0.686696732,1.936519504
