Galaxy,SSP Best,Calz Best,Tau Best,DTau Best,SSP Up Unc,Cal Up Unc,Tau Up Unc,DTau Up Unc,SSP Lo Unc,Cal Lo Unc,tau Lo Unc,dtau lo unc,SSP 16th %,Cal 16th %,Tau 16th %,DTau 16th %,SSP 50th %,cal 50th %,tau 50th %,dtau 50th %,SSP 84th %,cal 84th %,tau 84th %,dtau 84th %
J0826,12397862400,11725326336,5561881856,6035295488,1991570329,2014845133,3549309696,1691007846,1700643328,4564549,1298802944,1047843994,10697219072,7160777216,4263078912,4987451494,12397862400,11725326336,5561881856,6035295488,14389432730,13740171469,9111191552,772630334
J0901,8692855808,14480795648,5923102720,6038848512,2828185600,3204681728,3335118848,1656857190,2009430016,6328422528,1591776526,1012921856,6683425792,8162373120,4331326464,5025926656,8692855808,14480795648,5923102720,6038848512,11521041408,17685477376,9258221568,7695705702
J0905,12349798400,2680420608,5790441472,6081265664,1978885120,8086517504,3468123341,1648764314,1746161050,546768768,1514427904,1057875456,10603637350,2133651840,4276013568,5023390208,12349798400,2680420608,5790441472,6081265664,14328683520,10766938112,9258564813,7730029978
J0944,12374023680,12626169856,5527543808,6122680064,1989004800,3954214912,3373531136,1818068326,1798175027,4986184192,1279812352,1053608192,10575848653,7639985664,4247731456,5069071872,12374023680,12626169856,5527543808,6122680064,14363028480,16580384768,8901074944,7940748390
J1107,12229745664,14734629888,5734436352,6074340352,2052150272,2889996902,3345331917,1667566080,4508890624,5396388864,1417990144,1037419315,7720855040,9338241024,4316446208,5036921037,12229745664,14734629888,5734436352,6074340352,14281895936,17624626790,9079768269,7741906432
J1219,12418041856,11582755328,6036985856,6140170240,1947080704,954430976,3324485632,1856379802,1717132288,832943616,1695774925,1055496704,10700909568,10749811712,4341210931,5084673536,12418041856,11582755328,6036985856,6140170240,14365122560,12537186304,9361471488,7996550042
J1341,12298442752,13057903616,5382971392,6149596160,1941376000,3597308928,3507509248,1860010803,1770470400,5264488448,1166428211,1080133632,10527972352,7793415168,4216543181,5069462528,12298442752,13057903616,5382971392,6149596160,14239818752,16655212544,8890480640,8009606963
J1506,12411387904,12178317312,5664076800,6067732480,1923090432,2790411264,3478842163,1672437760,1725591552,9674468864,1363543757,1003067392,10685796352,2503848448,4300533043,5064665088,12411387904,12178317312,5664076800,6067732480,14334478336,14968728576,9142918963,7740170240
J1558,12398845952,10584549376,6410221056,6602087936,1958672794,1623934976,3097109811,1711957504,1765707366,2638219776,1615952998,1107687424,10633138586,7946329600,4794268058,5494400512,12398845952,10584549376,6410221056,6602087936,14357518746,12208484352,9507330867,8314045440
J1613,11799913472,39678611456,5603912704,6090464256,2230175744,14794378445,3552331776,1636614656,4635690086,35226010112,1337819136,1049217024,7164223386,4452601344,4266093568,5041247232,11799913472,39678611456,5603912704,6090464256,14030089216,54472989901,9156244480,7727078912
J2116,12379942912,9290638336,5798306304,6596495872,1958896435,4489060352,3499166208,1666368512,1710077952,6973896192,1468101632,1116552192,10669864960,2316742144,4330204672,5479943680,12379942912,9290638336,5798306304,6596495872,14338839347,13779698688,9297472512,8262864384
J2140,18193276928,12541907968,5764779008,9792070656,4136850227,6549722112,3464335360,2264098816,3700474880,11274372992,1432443904,2211627520,14492802048,1267534976,4332335104,7580443136,18193276928,12541907968,5764779008,9792070656,22330127155,19091630080,9229114368,12056169472
