Galaxy,best,up unc,lo unc,16%,50%,84%
J0826,2.01,1.36,1.36,0.994563426,2.007055632,3.037233184
J0901,2,1.27,1.28,1.03342344,1.998882079,2.969062931
J0905,1.99,1.34,1.34,0.981123532,1.985116702,2.964348873
J0944,2.07,1.26,1.29,1.149390094,2.072114977,2.94253057
J1107,1.94,1.39,1.26,1.037360737,1.940994593,2.991667579
J1219,1.89,1.38,1.31,0.909541596,1.894944803,2.853657112
J1341,0.07,0.06,0.04,0.034248696,0.066297357,0.110244525
J1506,0.13,0.11,0.09,0.065148141,0.130672231,0.207016914
J1558,2.07,1.24,1.3,1.117197205,2.068238945,2.980756577
J1613,1.88,1.44,1.3,0.943966222,1.880441601,2.867145816
J2116,1.9,1.36,1.33,0.983788817,1.903521031,2.864628473
J2140,2,1.35,1.34,1.001637677,2.002154416,3.028294308
