Galaxy,best,up unc,lo unc,16%,50%,84%
J0826,10.11,0.07,0.09,10.05283103,10.11021986,10.16018216
J0901,9.96,0.09,0.08,9.906323126,9.955378383,10.00646794
J0905,10.19,0.02,0.02,10.17882839,10.18950111,10.20244939
J0944,10.03,0.13,0.21,9.914102531,10.03261904,10.1326332
J1107,9.88,0.12,0.08,9.829262012,9.883898393,9.956143812
J1219,10.26,0.13,0.2,10.13344524,10.2588443,10.35203605
J1341,9.37,0.03,0.02,9.356861947,9.373360287,9.391888704
J1506,9.43,0.04,0.03,9.402582482,9.425289224,9.448630288
J1558,9.81,0.19,0.17,9.696582952,9.809454563,9.93639163
J1613,10.5,0.2,0.27,10.32024127,10.50022055,10.64641889
J2116,10.26,0.16,0.15,10.15920704,10.25873726,10.36783131
J2140,10.43,0.11,0.12,10.34708911,10.42914712,10.50992806
