ID       f_475      ivar_475  f_814      ivar_814  f_1600     ivar_1600 z
J0826    17.8649    1.2533    24.6604    0.6577    31.6228    0.4       0.603
J0901    18.0302    1.2304    28.3139    0.499     35.9749    0.3091    0.459
J0905    16.7494    1.4258    24.6604    0.6577    24.8886    0.6457    0.712
J0944    13.0617    2.3446    22.2844    0.8055    35.3183    0.3207    0.514
J1107    17.5388    1.3003    23.7684    0.708     24.4343    0.67      0.467
J1219    15.1356    1.7461    33.4195    0.3581    46.9894    0.1812    0.451
J1341    26.3027    0.5782    33.1131    0.3648    26.3027    0.5782    0.451
J1506    25.8226    0.5999    30.1995    0.4386    32.2107    0.3855    0.658
J1558    19.0546    1.1017    25.3513    0.6224    37.6704    0.2819    0.608
J1613    16.5959    1.4523    39.4457    0.2571    74.4732    0.0721    0.402
J2116    11.272     3.1482    20.893     0.9163    21.677     0.8513    0.449
J2140    10.0925    3.927     22.6986    0.7764    28.0543    0.5082    0.728
