Galaxy,best,up unc,lo unc,16%,50%,84%
J0826,0.03,0.01,0.01,0.028837502,0.032062631,0.036311147
J0901,0.03,0.01,0.01,0.030524778,0.034473176,0.039751668
J0905,0.03,0,0,0.031519298,0.032265102,0.033364568
J0944,0.03,0.01,0.01,0.024912981,0.02808356,0.033078452
J1107,0.03,0.02,0.01,0.030887026,0.034728683,0.042130527
J1219,0.05,0.03,0.02,0.033141673,0.047909297,0.067473898
J1341,0.01,0,0,0.005023103,0.005053822,0.005096903
J1506,0.01,0,0,0.005032876,0.00507321,0.005131267
J1558,0.03,0.02,0.01,0.026364289,0.032867402,0.043647693
J1613,0.04,0.03,0.02,0.026471709,0.039544605,0.061230424
J2116,0.04,0.02,0.01,0.030268141,0.038133531,0.050958891
J2140,0.05,0.03,0.02,0.034054945,0.045992219,0.064048813
