Galaxy	mfuv   mnuv   ebv	m475		m814		re		re_small	chi_small	re_large	chi_large   re00    re01   re05   re06    
J0826	22.43  20.39  0.037  	19.500 	        19.035		0.610		0.476		2.887		0.727		5.746       0.150   0.390  0.677  1.306  
J0901	22.04  20.11  0.057	19.380		18.958		0.697		0.584		8.037		0.883		8.250       0.320   0.303  0.837  1.167
J0905	23.66  20.92  0.031	19.539		19.101		0.424		0.400		2.745		0.434		3.643       0.100   0.125  0.571  0.714
J0944	22.57  21.24  0.026	19.740		19.103		0.394		0.346		2.455		0.575		3.476       0.130   0.151  0.604  0.919
J1107	22.92  21.40  0.076	19.516		19.157		0.650		0.465		5.178		1.048		8.965       0.160   0.505  0.735  1.626
J1219	22.69  21.44  0.021	19.637		18.763		1.187		0.904		3.134		1.392		9.294	    0.552   0.998  1.424  2.331
J1341	22.00  20.14  0.037	18.981		18.762		0.549		0.568		6.146		0.392		4.708	    0.352   0.272  0.727  0.840
J1506	21.39  19.66  0.016	19.103		18.903		0.469		0.392		3.858		0.610		5.683       0.110   0.252  0.462  0.910
J1558	21.29  20.01  0.014	19.588		19.290		1.385		0.959		9.426		2.483		8.693       0.443   1.033  1.516  3.534
J1613	23.45  21.13  0.041	19.608		18.630		5.310		4.048		3.999		6.386		5.777       2.486   4.155  4.657  7.098
J2116	23.09  21.84  0.147	19.998		19.299		0.918		0.628		3.226		1.057		13.064      0.230   0.564  1.232  1.752
J2140	24.12  22.37  0.143	20.283		19.414		0.509		0.003		1.880		0.949		2.110	    0.120   0.405  0.622  1.818  
