Galaxy    m475     m814     re      re_small    re_large    ba      pa        re00    re03    re05
J0826     19.53    19.05    0.60    0.48        0.82        0.84    31.23     0.48    0.61    0.73
J0901     19.39    19.01    0.59    0.47        0.95        0.77    -19.96    0.45    0.61    0.74
J0905     19.55    19.12    0.42    0.38        0.48        0.73    70.82     0.30    0.42    0.54
J0944     19.77    19.13    0.40    0.29        0.56        0.91    69.32     0.27    0.41    0.53
J1107     19.58    19.19    0.65    0.51        0.95        0.82    -29.46    0.51    0.67    0.82
J1219     19.70    18.84    1.04    0.85        1.27        0.99    -16.35    0.88    1.07    1.21
J1341     19.01    18.79    0.51    0.49        0.56        0.95    32.96     0.43    0.51    0.59
J1506     19.12    18.90    0.47    0.37        0.64        0.73    50.74     0.36    0.47    0.57
J1558     19.65    19.22    1.64    1.06        2.38        0.76    45.30     1.51    1.65    1.79
J1613     19.58    18.66    4.78    4.06        6.27        0.75    13.79     4.21    5.31    5.62
J2116     20.05    19.32    0.86    0.66        1.04        0.86    -35.47    0.67    0.87    1.06
J2140     20.35    19.40    0.59    0.30        1.05        0.92    41.37     0.41    0.62    0.81
