Galaxy    m475     u475     m814     u814    m160     u160    z      ebv    
J0826     19.522   0.069    19.107   0.061   18.820   0.034   0.603  0.037      
J0901     19.515   0.057    19.032   0.065   18.668   0.038   0.459  0.057   
J0905     19.529   0.059    19.113   0.061   18.953   0.044   0.712  0.031   
J0944     19.815   0.068    19.205   0.070   18.687   0.033   0.514  0.026   
J1107     19.582   0.060    19.182   0.065   18.988   0.040   0.467  0.076   
J1219     19.710   0.060    18.843   0.058   18.390   0.038   0.451  0.021
J1341     19.008   0.046    18.800   0.055   18.979   0.044   0.658  0.037   
J1506     19.128   0.050    18.909   0.055   18.815   0.036   0.608  0.016   
J1558     19.653   0.059    19.284   0.069   18.798   0.040   0.402  0.014   
J1613     19.596   0.078    18.642   0.059   17.921   0.033   0.449  0.041   
J2116     20.064   0.091    19.330   0.070   19.210   0.045   0.728  0.147   
J2140     20.356   0.088    19.399   0.084   19.065   0.044   0.752  0.143
  
