Galaxy    m475     u475     m814     u814    m160     u160    z      ebv    
J0826     19.403   0.007    18.810   0.013   18.443   0.011   0.603  0.037      
J0901     19.303   0.009    18.568   0.031   18.134   0.046   0.459  0.057   
J0905     19.499   0.006    18.948   0.008   18.873   0.011   0.712  0.031   
J0944     19.815   0.068    19.205   0.070   18.687   0.033   0.514  0.026   
J1107     19.627   0.061    19.212   0.071   18.988   0.040   0.467  0.076   
J1219     19.714   0.064    18.855   0.061   18.390   0.038   0.451  0.021
J1341     19.030   0.046    18.813   0.056   18.979   0.044   0.658  0.037   
J1506     19.126   0.050    18.932   0.056   18.815   0.036   0.608  0.016   
J1558     19.656   0.064    19.285   0.070   18.798   0.040   0.402  0.014   
J1613     19.584   0.073    18.637   0.059   17.921   0.033   0.449  0.041   
J2116     20.068   0.089    19.325   0.066   19.210   0.045   0.728  0.147   
J2140     20.387   0.092    19.385   0.084   19.065   0.044   0.752  0.143
  
