Galaxy    umag     uerr     vmag     verr    jmag     jerr    z      ebv    
J0826     21.572   0.245    20.356   0.125   19.698   0.095   0.603  0.037      
J0901     20.701   0.115    19.628   0.100   19.094   0.101   0.459  0.057   
J0905     22.223   0.116    21.286   0.084   20.200   0.102   0.712  0.031   
J0944     21.789   0.158    20.473   0.106   19.920   0.087   0.514  0.026   
J1107     20.880   0.093    19.745   0.067   19.122   0.070   0.467  0.076   
J1219     21.014   0.139    19.552   0.096   18.762   0.060   0.451  0.021
J1341     21.661   0.493    20.534   0.226   19.869   0.112   0.658  0.037   
J1506     21.447   0.181    19.910   0.103   19.098   0.078   0.608  0.016   
J1558     19.865   0.051    18.904   0.044   18.400   0.048   0.402  0.014   
J1613     22.016   0.580    20.880   0.319   20.338   0.207   0.449  0.041   
J2116     21.357   0.183    20.122   0.115   19.389   0.083   0.728  0.147   
J2140     22.050   0.183    20.982   0.125   20.561   0.116   0.752  0.143
