Galaxy    umag     uerr     vmag     verr    jmag     jerr    z      ebv    
J0826     19.398   0.045    19.070   0.059   18.892   0.047   0.603  0.037
J0901     19.261   0.032    18.917   0.055   18.701   0.037   0.459  0.057
J0905     19.262   0.052    19.040   0.062   18.925   0.073   0.712  0.031
J0944     19.615   0.055    19.166   0.067   18.716   0.054   0.514  0.026
J1107     19.302   0.034    19.056   0.058   18.974   0.043   0.467  0.076
J1219     19.473   0.038    18.821   0.043   18.392   0.042   0.451  0.021
J1341     18.817   0.037    18.769   0.035   19.093   0.055   0.658  0.037
J1506     19.010   0.034    18.909   0.048   18.813   0.045   0.608  0.016
J1558     19.610   0.049    19.232   0.056   18.828   0.040   0.402  0.014
J1613     19.282   0.043    18.583   0.040   17.890   0.040   0.449  0.041
J2116     19.301   0.049    19.071   0.033   19.235   0.048   0.728  0.147
J2140     19.694   0.082    19.209   0.057   18.998   0.066   0.752  0.143
