Galaxy			m475		m814		re		re_small		re_large
J0826			19.5 	        19.036		0.61		1.935		2.921
J0901			19.337		18.955		0.69		2.226		3.444
J0905			19.537		19.097		0.41		1.777		1.991
J0944			19.748		19.11		0.42		1.803		2.404
J1107			19.515		19.156		0.65		2.091		3.736
J1219			19.637		18.764		1.18		2.630		4.229
J1341			18.981		18.762		0.54		2.057		2.164
J1506			19.102		18.903		0.47		1.808		2.515
J1558			19.593		19.298		1.36		3.277		7.648
J1613			19.608		18.63		5.31		5.838		8.933
J2116			19.998		19.299		0.92		2.102		3.189
J2140			20.269		19.4			0.51		1.721		2.796
