Galaxy,best,up unc,lo unc,16%,50%,84%
J0826,0.03,0,0,0.024995267,0.02554069,0.026002523
J0901,0.02,0,0,0.024478524,0.024603507,0.024709417
J0905,0.03,0,0,0.029374402,0.029769122,0.030186873
J0944,0.03,0,0,0.025916303,0.02661303,0.027309022
J1107,0.03,0,0,0.030987726,0.032351827,0.03406889
J1219,0.03,0,0,0.031679549,0.033453427,0.035461915
J1341,0.03,0,0,0.027553538,0.027897733,0.028124843
J1506,0.02,0,0,0.024306476,0.024426263,0.024533492
J1558,0.03,0,0,0.025006131,0.025267749,0.025616765
J1613,0.03,0,0,0.024958056,0.025214935,0.025533904
J2116,0.04,0.02,0.01,0.034447014,0.038631331,0.050633357
J2140,0.03,0,0,0.03278551,0.034350932,0.035638316
