Galaxy,best,up unc,lo unc,16%,50%,84%
J0826,0.7,0.02,0.01,0.69389905,0.70363683,0.714352261
J0901,0.89,0.01,0.01,0.87850431,0.888129181,0.898617457
J0905,0.63,0.02,0.02,0.620948226,0.634487573,0.646806111
J0944,1.11,0.03,0.03,1.084298236,1.105344755,1.124901677
J1107,1.13,0.03,0.03,1.113804463,1.130145251,1.147460622
J1219,1.5,0.03,0.03,1.478298966,1.497050901,1.515267185
J1341,0.36,0.02,0.02,0.343161729,0.356376971,0.368814961
J1506,0.45,0.02,0.02,0.439509174,0.452590135,0.465435666
J1558,0.85,0.02,0.02,0.837014762,0.853180287,0.866420241
J1613,1.55,0.02,0.02,1.535165494,1.546868669,1.559721125
J2116,1.07,0.06,0.08,1.013069637,1.072268738,1.118951481
J2140,1.21,0.03,0.03,1.192681953,1.212416328,1.230459024
