Galaxy,best,up unc,lo unc,16%,50%,84%
J0826,10.43,0.01,0.01,10.42436605,10.43389341,10.44396257
J0901,10.34,0.01,0.01,10.32927775,10.33572634,10.34190865
J0905,10.48,0.02,0.02,10.46906874,10.4792909,10.48977925
J0944,10.39,0.02,0.03,10.3688419,10.38602769,10.40266207
J1107,10.44,0.02,0.03,10.42297146,10.44244733,10.45979933
J1219,10.71,0.02,0.04,10.69171681,10.71277979,10.73024259
J1341,10.44,0.01,0.01,10.43273419,10.44174603,10.45042367
J1506,10.41,0.01,0.01,10.40008161,10.40742881,10.4144309
J1558,10.29,0.02,0.01,10.28141536,10.29114732,10.3020041
J1613,10.6,0.01,0.02,10.58887689,10.59986336,10.60812173
J2116,10.77,0.11,0.03,10.74344095,10.76712329,10.84770316
J2140,10.81,0.02,0.02,10.7975012,10.81186545,10.8250171
