Galaxy,best,up unc,lo unc,16%,50%,84%
J0826,-0.98,0.03,0.02,-0.991057162,-0.978679453,-0.958056595
J0901,-0.98,0.02,0.01,-0.992649717,-0.984075822,-0.968685218
J0905,-0.89,0.31,0.09,-0.95649026,-0.885652963,-0.715894435
J0944,0.58,0.58,-1.02,-0.116729115,0.57638636,0.999982842
J1107,-0.87,0.34,0.1,-0.949398712,-0.8720234,-0.687217666
J1219,1.14,0.23,0.34,0.919200877,1.138458153,1.306280915
J1341,0.32,0.7,0.69,-0.188241987,0.320386245,0.802730248
J1506,-0.78,0.79,0.17,-0.919570325,-0.779157143,-0.410749417
J1558,1.3,0.13,0.21,1.147478184,1.29551964,1.39218573
J1613,1.32,0.1,0.16,1.223317015,1.324888669,1.401021072
J2116,0.68,0.5,0.72,0.212639218,0.682295832,1.054523238
J2140,0.02,1.02,0.94,-0.846136905,0.018589756,0.790648584
