Galaxy fuv_mag fuv_unc nuv_mag nuv_unc u_mag  u_unc g_mag  g_unc r_mag  r_unc i_mag  i_unc z_mag  z_unc w1_mag w1_unc w2_mag w2_unc w3_mag w3_unc w4_mag w4_unc z     ebv
J0826  22.430  0.157   20.393  0.039   19.641 0.034 19.429 0.011 19.139 0.014 18.878 0.014 18.853 0.046 15.395 0.023  15.146 0.062  11.489 0.156  8.534  0.271 0.603 0.037
J0901  22.036  0.119   20.112  0.039   19.518 0.029 19.288 0.012 18.825 0.011 18.698 0.011 18.569 0.034 15.242 0.022  15.012 0.064  11.677 0.205  8.716  0.352 0.459 0.057
J0905  23.657  0.430   20.918  0.059   19.911 0.040 19.589 0.014 19.584 0.016 19.107 0.016 19.161 0.071 15.811 0.027  15.616 0.080  11.763 0.166  8.854  0.305 0.712 0.031
J0944  22.572  0.312   21.238  0.102   20.293 0.049 19.801 0.015 19.295 0.015 19.080 0.018 19.063 0.053 15.505 0.028  15.186 0.078  11.265 0.142  8.488  0.286 0.514 0.026
J1107  22.919  0.354   21.398  0.104   19.971 0.039 19.517 0.013 19.069 0.012 18.886 0.013 18.704 0.031 15.586 0.028  14.927 0.057  10.774 0.081  8.254  0.205 0.467 0.076
J1219  22.692  0.480   21.441  0.212   20.149 0.053 19.524 0.014 18.786 0.011 18.530 0.013 18.336 0.038 15.022 0.016  14.685 0.049  10.641 0.081  7.809  0.136 0.451 0.021
J1341  21.999  0.410   20.139  0.097   19.256 0.027 18.962 0.010 18.866 0.011 18.714 0.013 18.807 0.046 15.482 0.023  15.224 0.065  11.069 0.086  8.153  0.149 0.658 0.037
J1506  21.394  0.252   19.661  0.074   19.291 0.025 19.126 0.011 18.881 0.011 18.650 0.013 18.598 0.039 15.260 0.013  14.827 0.032  10.974 0.058  7.680  0.076 0.608 0.016
J1558  21.287  0.317   20.007  0.110   19.359 0.034 19.076 0.011 18.540 0.010 18.431 0.012 18.239 0.035 15.155 0.014  14.581 0.029  10.710 0.039  8.610  0.152 0.402 0.014
J1613  23.449  0.374   21.129  0.042   20.249 0.043 19.756 0.014 18.936 0.010 18.691 0.011 18.424 0.024 14.853 0.011  14.316 0.024  10.209 0.034  7.299  0.072 0.449 0.041
J2116  24.280  1.086   21.837  0.117   20.747 0.080 20.026 0.020 19.729 0.019 19.218 0.018 19.064 0.067 15.609 0.032  15.638 0.119  11.814 0.266  9.594  1.086 0.728 0.147
J2140  24.122  0.360   22.370  0.120   20.628 0.052 20.197 0.018 19.857 0.017 19.315 0.016 19.111 0.037 15.539 0.028  15.004 0.059  11.689 0.202  9.029  0.455 0.752 0.143
