,Galaxy,re (kpc),rotational velocity,rotational velocity mass (solar mass),star formation rate,star formation density,assymetry,eta average vrot
0,10001-12703,6.826813769866713,0.0,0.22163026,0.0,0.22163026,0.0015137113674005087,8.992994228257022
1,10001-12704,4.920646010144,0.0,-0.8849795,0.0,-0.8849795,-0.011634268571048259,4.915665026392366
2,10213-12703,6.9882648156271125,0.0,-1.0999999,0.0,-1.0999999,-0.007169750896904053,1.5425365203998047
3,10214-12701,8.11762093315709,0.0,-0.57805413,0.0,-0.57805413,-0.0027922937303808642,5.058960168721686
4,10215-9101,4.58610891743216,0.0,-0.86872506,0.0,-0.86872506,-0.013147517217653833,3.2677369762039588
5,10215-9102,4.3788489928841,0.0,-0.099567,0.0,-0.099567,-0.0016528963761068519,3.610613311815357
6,10216-6104,10.458597051384876,0.0,0.5062937,0.0,0.5062937,0.0014733495711570913,6.9065374603927125
7,10217-12702,7.971170165252883,0.0,-0.010169433,0.0,-0.010169433,-5.094513580658808e-05,6.219152585395355
8,10219-12705,3.9979233005086994,0.0,-0.86198825,0.0,-0.86198825,-0.017166531525054842,2.2750310155908524
9,10219-6103,3.7310639356190163,0.0,-1.016171,0.0,-1.016171,-0.023235473783556598,3.088261563508665
10,10220-12701,4.58717652551581,0.0,-0.35589117,0.0,-0.35589117,-0.0053836452109153375,5.699267603445609
11,10220-12702,9.111208493949764,0.0,0.111298025,0.0,0.111298025,0.000426761874561058,7.4983393123903
12,10220-6104,4.827312143153927,0.0,0.3308738,0.0,0.3308738,0.0045196179617856495,7.171062624307021
13,10221-3701,2.984177966752192,0.0,-1.4160818,0.0,-1.4160818,-0.050616140291804626,2.2681681717944326
14,10493-12702,3.911032594748123,0.0,-0.8303447,0.0,-0.8303447,-0.0172792808058664,3.71119685805625
15,10493-12704,5.910642091445685,0.0,-0.96582264,0.0,-0.96582264,-0.008799909040615235,2.985419855025283
16,10496-12701,7.128095280548139,0.0,0.0768349,0.0,0.0768349,0.0004813507772911679,16.83047832755328
17,10496-12703,4.996803390090344,0.0,-0.81357366,0.0,-0.81357366,-0.010371999400194018,8.492879215946537
18,10496-6101,4.778620785143869,0.0,-0.47198266,0.0,-0.47198266,-0.006579168864369499,7.1232138998016
19,10497-3704,1.6263752686850397,0.0,-1.5419271,0.0,-1.5419271,-0.18555490763820104,2.114180453918445
20,10498-12701,6.659650129164107,0.0,-0.4763613,0.0,-0.4763613,-0.0034188793554727303,3.164608336423608
21,10499-9102,8.281309100067546,0.0,0.08137585,0.0,0.08137585,0.0003777006108095798,5.004359503536835
22,10503-12702,6.940335158790054,0.0,0.16338305,0.0,0.16338305,0.0010796829513818435,7.881107668560086
23,10503-12703,7.904651978002399,0.0,-1.5622611,0.0,-1.5622611,-0.007958628632996618,10.306132690136977
24,10503-12704,7.305379963780176,0.0,-0.07276637,0.0,-0.07276637,-0.00043400549254913305,17.335054261563457
25,10503-3703,2.7351950633232804,0.0,-0.7314847,0.0,-0.7314847,-0.03112280794363739,4.804392165097932
26,10503-6102,3.458116504628548,0.0,-0.8268681,0.0,-0.8268681,-0.0220093457208269,3.876403470425249
27,10506-12704,2.756251133577875,0.0,-0.45038247,0.0,-0.45038247,-0.018870961815400263,10.733698411654148
28,10507-12704,6.494006569803512,0.0,-0.11901406,0.0,-0.11901406,-0.0008983032233605588,83.84596697365657
29,10507-3702,3.141364146049637,0.0,-0.6519583,0.0,-0.6519583,-0.02102971426665156,5.768360796591695
30,10508-12704,3.7905217545903507,0.0,-1.3035938,0.0,-1.3035938,-0.028879815308490715,2.7103603394179236
31,10510-9101,3.4694500278075893,0.0,-1.5279546,0.0,-1.5279546,-0.04040538957199031,1.953686107901568
32,10511-12701,7.123310405857152,0.0,-0.21389714,0.0,-0.21389714,-0.0013418110481459324,23.95323546322895
33,10511-6101,3.3330581318878494,0.0,-0.28617766,0.0,-0.28617766,-0.00819974008987059,6.30176513760774
34,10512-9102,4.776962778399279,0.0,-1.2829386,0.0,-1.2829386,-0.01789584808940948,11.82584620787119
35,10514-12705,6.189721543693464,0.0,-0.8593373,0.0,-0.8593373,-0.007139561705637717,4.947123975089907
36,10514-3701,2.626418818186691,0.0,-0.84898245,0.0,-0.84898245,-0.03917607106647018,7.460466747193006
37,10517-12701,3.958962827601073,0.0,-1.5618901,0.0,-1.5618901,-0.03172033450492215,1.7492537658537355
38,10517-12703,15.699799623421145,0.0,0.31996652,0.0,0.31996652,0.00041320584164198027,5.441749539825999
39,10519-12702,4.398189912430516,0.0,-0.091375165,0.0,-0.091375165,-0.001503593168182668,6.198391205375279
40,7443-12704,7.374111402345145,0.0,-0.028678862,0.0,-0.028678862,-0.0001678775639571559,7.7193427211916
41,7495-12702,7.598432035714823,0.0,-0.022080166,0.0,-0.022080166,-0.0001217319279010039,18.761371460244355
42,7495-3702,3.145620178582384,0.0,-0.48204413,0.0,-0.48204413,-0.015506877723053923,3.436202957800706
43,7495-3703,3.446384166616759,0.0,-0.60626256,0.0,-0.60626256,-0.01624738631719375,3.624562602489921
44,7495-6104,4.334532635610928,0.0,-1.0163677,0.0,-1.0163677,-0.01721933663686104,1.8554003465688236
45,7815-6101,2.471939329919874,0.0,-0.7884095,0.0,-0.7884095,-0.04107015533574739,4.148747456869836
46,7957-6102,3.417846455267355,0.0,-1.0896121,0.0,-1.0896121,-0.0296904621966713,3.040423740782587
47,7958-12702,6.721254701624951,0.0,-0.6203196,0.0,-0.6203196,-0.004370840190000462,3.6799155273388346
48,7958-12703,5.478854634823491,0.0,-1.1094155,0.0,-1.1094155,-0.011764265385215895,9.245369931452117
49,7958-12704,8.026283966818163,0.0,-1.127567,0.0,-1.127567,-0.0055713887519431675,19.61870714872078
50,7960-12702,8.432888140709224,0.0,0.92607117,0.0,0.92607117,0.004145164888868417,7.097717784660711
51,7960-6103,3.4435134210695866,0.0,-0.119174734,0.0,-0.119174734,-0.0031991216705925573,3.0723162403456445
52,7962-12705,6.2278525225060015,0.0,-0.8354257,0.0,-0.8354257,-0.006856165713206126,14.499028735200785
53,7964-12704,11.668060040732577,0.0,0.41424596,0.0,0.41424596,0.0009685255938706762,13.921814180328262
54,7964-12705,4.797986622844877,0.0,-1.0826254,0.0,-1.0826254,-0.014969602538070195,1.5829565814612283
55,7972-3701,2.471939329919874,0.0,-0.7884095,0.0,-0.7884095,-0.04107015533574739,4.060535388822213
56,7975-12703,9.495090570547767,0.0,-0.36976045,0.0,-0.36976045,-0.0013054864392827718,15.625830086256327
57,7975-3701,4.564613540758193,0.0,-0.14450558,0.0,-0.14450558,-0.002207632109446441,5.423785045427598
58,7975-9102,3.8153820044479194,0.0,-0.10930227,0.0,-0.10930227,-0.0023900294074732553,10.94772910345185
59,7977-12704,7.008014880429157,0.0,-1.8137711,0.0,-1.8137711,-0.011755539936975588,6.203100709155331
